Dataset,SubmissionDateTime,PublishTime,SettlementDate,Region,GspGroupId,ForecastDemand60,ForecastDemand100
RZDF,2025-12-30T11:45:00Z,2025-12-30T11:45:05Z,2025-12-31,South West,N/A,4311,7186
RZDF,2025-12-30T11:45:00Z,2025-12-30T11:45:05Z,2025-12-31,Midlands,N/A,4459,7432
RZDF,2025-12-30T11:45:00Z,2025-12-30T11:45:05Z,2025-12-31,North East,N/A,2939,4898
RZDF,2025-12-30T11:45:00Z,2025-12-30T11:45:05Z,2025-12-31,North West,N/A,2854,4757
RZDF,2025-12-30T11:45:00Z,2025-12-30T11:45:05Z,2025-12-31,South Scotland,N/A,1370,2284
RZDF,2025-12-30T11:45:00Z,2025-12-30T11:45:05Z,2025-12-31,North Scotland,N/A,116,193
RZDF,2025-12-30T09:00:00Z,2025-12-30T09:00:05Z,2025-12-31,South East,N/A,6766,11276
RZDF,2025-12-30T09:00:00Z,2025-12-30T09:00:05Z,2025-12-31,South West,N/A,4345,7242
RZDF,2025-12-30T09:00:00Z,2025-12-30T09:00:05Z,2025-12-31,Midlands,N/A,4494,7490
RZDF,2025-12-30T09:00:00Z,2025-12-30T09:00:05Z,2025-12-31,North East,N/A,2962,4936
RZDF,2025-12-30T09:00:00Z,2025-12-30T09:00:05Z,2025-12-31,North West,N/A,2877,4795
RZDF,2025-12-30T09:00:00Z,2025-12-30T09:00:05Z,2025-12-31,South Scotland,N/A,1381,2302
RZDF,2025-12-30T09:00:00Z,2025-12-30T09:00:05Z,2025-12-31,North Scotland,N/A,117,195
RZDF,2025-12-29T17:00:00Z,2025-12-29T17:00:04Z,2025-12-30,South East,N/A,6832,11386
RZDF,2025-12-29T17:00:00Z,2025-12-29T17:00:04Z,2025-12-30,South West,N/A,4388,7313
RZDF,2025-12-29T17:00:00Z,2025-12-29T17:00:04Z,2025-12-30,Midlands,N/A,4538,7564
RZDF,2025-12-29T17:00:00Z,2025-12-29T17:00:04Z,2025-12-30,North East,N/A,2991,4985
RZDF,2025-12-29T17:00:00Z,2025-12-29T17:00:04Z,2025-12-30,North West,N/A,2905,4842
RZDF,2025-12-29T17:00:00Z,2025-12-29T17:00:04Z,2025-12-30,South Scotland,N/A,1395,2324
RZDF,2025-12-29T17:00:00Z,2025-12-29T17:00:04Z,2025-12-30,North Scotland,N/A,118,197
RZDF,2025-12-29T11:45:00Z,2025-12-29T11:45:05Z,2025-12-30,South East,N/A,7031,11718
RZDF,2025-12-29T11:45:00Z,2025-12-29T11:45:05Z,2025-12-30,South West,N/A,4516,7526
RZDF,2025-12-29T11:45:00Z,2025-12-29T11:45:05Z,2025-12-30,Midlands,N/A,4671,7785
RZDF,2025-12-29T11:45:00Z,2025-12-29T11:45:05Z,2025-12-30,North East,N/A,3078,5130
RZDF,2025-12-29T11:45:00Z,2025-12-29T11:45:05Z,2025-12-30,North West,N/A,2990,4983
RZDF,2025-12-29T11:45:00Z,2025-12-29T11:45:05Z,2025-12-30,South Scotland,N/A,1435,2392
RZDF,2025-12-29T11:45:00Z,2025-12-29T11:45:05Z,2025-12-30,North Scotland,N/A,122,203
RZDF,2025-12-29T09:00:00Z,2025-12-29T09:00:05Z,2025-12-30,South East,N/A,7094,11823
RZDF,2025-12-29T09:00:00Z,2025-12-29T09:00:05Z,2025-12-30,South West,N/A,4556,7594
RZDF,2025-12-29T09:00:00Z,2025-12-29T09:00:05Z,2025-12-30,Midlands,N/A,4713,7854
RZDF,2025-12-29T09:00:00Z,2025-12-29T09:00:05Z,2025-12-30,North East,N/A,3106,5176
RZDF,2025-12-29T09:00:00Z,2025-12-29T09:00:05Z,2025-12-30,North West,N/A,3017,5028
RZDF,2025-12-29T09:00:00Z,2025-12-29T09:00:05Z,2025-12-30,South Scotland,N/A,1448,2414
RZDF,2025-12-29T09:00:00Z,2025-12-29T09:00:05Z,2025-12-30,North Scotland,N/A,123,204
RZDF,2025-12-28T17:00:00Z,2025-12-28T17:00:07Z,2025-12-29,South East,N/A,7005,11676
RZDF,2025-12-28T17:00:00Z,2025-12-28T17:00:07Z,2025-12-29,South West,N/A,4499,7499
RZDF,2025-12-28T17:00:00Z,2025-12-28T17:00:07Z,2025-12-29,Midlands,N/A,4654,7756
RZDF,2025-12-28T17:00:00Z,2025-12-28T17:00:07Z,2025-12-29,North East,N/A,3067,5111
RZDF,2025-12-28T17:00:00Z,2025-12-28T17:00:07Z,2025-12-29,North West,N/A,2979,4965
RZDF,2025-12-28T17:00:00Z,2025-12-28T17:00:07Z,2025-12-29,South Scotland,N/A,1430,2383
RZDF,2025-12-28T17:00:00Z,2025-12-28T17:00:07Z,2025-12-29,North Scotland,N/A,121,202
RZDF,2025-12-28T11:45:00Z,2025-12-28T11:45:04Z,2025-12-29,South East,N/A,7278,12130
RZDF,2025-12-28T11:45:00Z,2025-12-28T11:45:04Z,2025-12-29,South West,N/A,4674,7790
RZDF,2025-12-28T11:45:00Z,2025-12-28T11:45:04Z,2025-12-29,Midlands,N/A,4835,8058
RZDF,2025-12-28T11:45:00Z,2025-12-28T11:45:04Z,2025-12-29,North East,N/A,3186,5310
RZDF,2025-12-28T11:45:00Z,2025-12-28T11:45:04Z,2025-12-29,North West,N/A,3095,5158
RZDF,2025-12-28T11:45:00Z,2025-12-28T11:45:04Z,2025-12-29,South Scotland,N/A,1486,2476
RZDF,2025-12-28T11:45:00Z,2025-12-28T11:45:04Z,2025-12-29,North Scotland,N/A,126,210
