SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,SOURCE_FILE,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW,SCOTTISH_TRANSFER,TIMESTAMP,YEAR,MONTH,DAY,HOUR,MINUTE,DAY_OF_WEEK,DAY_NAME,IS_WEEKEND,GRID_STRESS_SCORE,RENEWABLE_RATIO,DAY_OF_YEAR,HOUR_SIN,HOUR_COS,MONTH_SIN,MONTH_COS,ND_LAG_1,ND_LAG_48,ND_LAG_336,ND_ROLLING_6H,ND_ROLLING_24H,ND_ROLLING_7D,IS_PEAK_DEMAND,TOTAL_RENEWABLE_GENERATION,TOTAL_RENEWABLE_CAPACITY,RENEWABLE_UTILIZATION,TOTAL_INTERCONNECTOR_FLOW,ABS_INTERCONNECTOR_FLOW,INTERCONNECTOR_DEPENDENCY,STORAGE_RATIO,SCOTLAND_TRANSFER_RATIO,IS_PEAK_PRICING_PERIOD,IS_OFF_PEAK,CARBON_INTENSITY_SCORE,DEMAND_PRESSURE,PEAK_LOAD_INDICATOR,GRID_STATE,PEAK_RISK,CARBON_INTENSITY,NATIONAL_PRICE,MARKET_VOLATILITY_INDEX,TIME_OF_USE_SIGNAL,MARKET_CONGESTION_INDEX,CARBON_PRICE_SIGNAL,PRICE_CATEGORY
2026-04-17,27,24267,26982,22776,3880,6606,6146,22126,0,937,1507,991,1001,68,0,-39,demanddata_2026.csv,-1239.0,998.0,1300.0,100.0,4640.0,2026-04-17 13:00:00,2026,4,17,13,0,4,Friday,0,0.3175571498610792,0.3489367626074548,107,-0.2588190451025208,-0.9659258262890684,0.8660254037844387,-0.4999999999999998,24582.0,22424.0,21205.0,26060.83333333333,25030.08333333333,24224.80654761905,0,10026,28732,0.3489367626074548,4687.0,7243.0,0.2984588758859403,0.0,0.191198285808472,0,0,0.4763145336776645,0.2476453814914024,0,MODERATE,0.2222900049027554,0.4763145336776645,63.23,0.3073570696161331,0.95,1.0761783508505798,1.1057747496888517,Low
2026-04-17,28,24351,27132,22828,3922,6606,5362,22126,0,939,1507,991,989,147,0,-103,demanddata_2026.csv,-1239.0,998.0,1269.0,100.0,4561.0,2026-04-17 13:30:00,2026,4,17,13,30,4,Friday,0,0.3055452502064825,0.3231127971322173,107,-0.2588190451025208,-0.9659258262890684,0.8660254037844387,-0.4999999999999998,24267.0,22342.0,20598.0,25873.58333333333,25071.9375,24235.97619047619,0,9284,28732,0.3231127971322173,4659.0,7343.0,0.3015358081471748,0.0,0.1872946780551905,0,0,0.4933037717910873,0.2494599498833491,0,MODERATE,0.2138816751445377,0.4933037717910873,64.46,0.1447008253765288,0.95,1.0757232636255285,1.1096055516869974,Low
2026-04-17,29,23793,26934,22427,3984,6606,5249,22126,0,936,1508,992,282,150,0,-466,demanddata_2026.csv,-1239.0,997.0,402.0,100.0,4493.0,2026-04-17 14:00:00,2026,4,17,14,0,4,Friday,0,0.2904985598891343,0.3213378345456444,107,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,24351.0,22026.0,20662.0,25523.5,25108.75,24245.29464285714,0,9233,28732,0.3213378345456444,2726.0,6136.0,0.2578801378498781,0.0,0.1888291165840127,0,0,0.4783413515475364,0.2374060312797027,0,LOW,0.203348991922394,0.4783413515475364,61.02,0.3171365894876882,0.95,1.0443059919817963,1.1062317647647453,Very Low
2026-04-17,30,23719,26874,22357,4046,6606,5275,22126,0,935,1508,992,236,150,0,-481,demanddata_2026.csv,-1239.0,998.0,327.0,100.0,4446.0,2026-04-17 14:30:00,2026,4,17,14,30,4,Friday,0,0.3203284980386642,0.324400515087182,107,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,23793.0,21946.0,21382.0,25178.166666666668,25145.6875,24252.25,0,9321,28732,0.324400515087182,2591.0,6031.0,0.2542580101180438,0.0,0.1874367622259696,0,0,0.4747810028601817,0.2358074829344163,0,MODERATE,0.2242299486270649,0.4747810028601817,62.56,0.0346557307561377,0.95,1.0421118214324412,1.105428962969011,Very Low
2026-04-17,31,23160,26666,21791,4001,6606,5081,22126,0,801,1508,992,-475,150,0,-399,demanddata_2026.csv,-1239.0,997.0,-92.0,100.0,4368.0,2026-04-17 15:00:00,2026,4,17,15,0,4,Friday,0,0.2664276879822554,0.3160825531618696,107,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,23719.0,22106.0,21738.0,24792.58333333333,25167.64583333333,24256.48214285714,0,9082,28732,0.3160825531618696,1542.0,5952.0,0.2569837226371918,0.0,0.1885928932256811,0,0,0.4729058075744758,0.2237319623261038,0,LOW,0.1864993815875788,0.4729058075744758,62.81,0.0204478430546152,0.95,1.0250623036081916,1.10500613636552,Low
2026-04-17,32,23470,26944,22071,3956,6606,4617,22126,0,632,1508,992,-548,150,0,-396,demanddata_2026.csv,-1253.0,997.0,-145.0,100.0,4326.0,2026-04-17 15:30:00,2026,4,17,15,30,4,Friday,0,0.2928592575373643,0.2983677304841123,107,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,23160.0,23451.0,22913.0,24486.33333333333,25168.041666666668,24258.13988095238,0,8573,28732,0.2983677304841123,1405.0,6089.0,0.259426526351668,0.0,0.1843125559200716,0,0,0.4884007970237584,0.2304285837725741,0,LOW,0.205001480276155,0.4884007970237584,61.44,0.1614763722313838,0.95,1.0228356268284755,1.1085000091423494,Very Low
2026-04-17,33,23528,28029,22118,3941,6606,4608,22126,0,213,1508,992,-865,127,0,-506,demanddata_2026.csv,-1429.0,997.0,-988.0,100.0,4226.0,2026-04-17 16:00:00,2026,4,17,16,0,4,Friday,0,0.302764702355839,0.2975324539727839,107,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,23470.0,24583.0,23998.0,24249.25,25146.0625,24256.74107142857,0,8549,28732,0.2975324539727839,-64.0,7512.0,0.3192655871477751,0.0,0.179608143142505,1,0,0.5016232441912596,0.231681500043204,0,MODERATE,0.2119352916490873,0.5016232441912596,85.89,0.0880342678461387,1.3,1.0010401993715463,1.111481459910858,High
2026-04-17,34,24380,28754,22866,3925,6606,4716,22126,0,9,1508,992,-879,99,0,-512,demanddata_2026.csv,-1420.0,998.0,-1054.0,100.0,3883.0,2026-04-17 16:30:00,2026,4,17,16,30,4,Friday,0,0.3294455183351036,0.3007343472662095,107,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,23528.0,26552.0,25804.0,24148.416666666668,25100.8125,24252.50297619048,0,8641,28732,0.3007343472662095,-168.0,7562.0,0.310159550469628,0.0,0.1592633608137484,1,0,0.5085889701987225,0.2500864080186641,0,MODERATE,0.2306118628345725,0.5085889701987225,91.97,0.3786569502464032,1.3,1.0027305233503088,1.1130521199327952,High
2026-04-17,35,25185,30105,23618,3775,6606,3999,22126,0,12,1509,991,-1067,106,0,-903,demanddata_2026.csv,-1027.0,998.0,-1411.0,100.0,3937.0,2026-04-17 17:00:00,2026,4,17,17,0,4,Friday,0,0.5358498603382098,0.2705599832944698,107,-0.9659258262890684,-0.2588190451025206,0.8660254037844387,-0.4999999999999998,24380.0,27886.0,26629.0,24164.5,25044.541666666668,24248.20535714286,0,7774,28732,0.2705599832944698,-704.0,8112.0,0.3220836972921464,0.0,0.1563170015087747,1,0,0.537936260650972,0.2674760217748207,1,MODERATE,0.6750949022367468,0.537936260650972,93.8,0.0426759528161736,1.3,1.0114421930870083,1.1196694654637769,High
2026-04-17,36,26204,31088,24644,3625,6606,3047,22126,0,8,1509,991,-1074,130,0,-919,demanddata_2026.csv,-947.0,997.0,-1436.0,72.0,3948.0,2026-04-17 17:30:00,2026,4,17,17,30,4,Friday,0,0.5739379516668436,0.2322068701493057,107,-0.9659258262890684,-0.2588190451025206,0.8660254037844387,-0.4999999999999998,25185.0,29344.0,27344.0,24271.58333333333,24979.125,24244.8125,0,6672,28732,0.2322068701493057,-677.0,8075.0,0.3081473001335623,0.0,0.1506582713222667,1,0,0.5673497421572735,0.2894884645295083,1,MODERATE,0.7017565661667905,0.5673497421572735,82.18,0.0099033164732388,1.3,1.0110033589771372,1.1263017360208505,Moderate
